id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
15,Seraph Milk (Mooshum),3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,21,28,
61,Shamengwa Milk,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,21,28,
9,Severine Milk,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],433,Knows of,Evelina Harp,Severine Milk,0,A Little Nip,21,22,
96,Joseph Milk (Seraph Milk's Father),3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],434,Knows of,Evelina Harp,Joseph Milk (Seraph Milk's Father),0,A Little Nip,21,22,
95,Seraph Milk's Mother,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],435,Knows of,Evelina Harp,Seraph Milk's Mother,0,A Little Nip,21,21,
97,Louis Riel's Wife,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],436,Knows of,Evelina Harp,Louis Riel's Wife,0,A Little Nip,21,21,
98,Louis Riel's Child,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],437,Knows of,Evelina Harp,Louis Riel's Child,0,A Little Nip,21,21,
99,Louis Riel's Lieutenants,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],438,Knows of,Evelina Harp,Louis Riel's Lieutenants,0,A Little Nip,21,21,
100,Priests (who threatened Louis Riel's followers),3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],439,Knows of,Evelina Harp,Priests (who threatened Louis Riel's followers),0,A Little Nip,21,22,
101,Baby (who the Milk family lost),3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],440,Knows of,Evelina Harp,Baby (who the Milk family lost),0,A Little Nip,21,21,
16,Clemence Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],442,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,22,24,
19,Geraldine Milk,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],450,Knows,Evelina Harp,Geraldine Milk,1,A Little Nip,22,23,
