,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
72,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],317,Knows,Dene Oxendene,"""guy across the hall"" (cannabis supplier)",1,Dene Oxendene (I),35,35,
73,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],318,Knows,Dene Oxendene,Norma,1,Dene Oxendene (I),37,37,
74,87,Orvil Red Feather (I),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],674,Knows of,Dene Oxendene,Loother Red Feather,0,Orvil Red Feather (I),123,124,
75,87,Orvil Red Feather (I),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],675,Knows of,Dene Oxendene,Lony Red Feather,0,Orvil Red Feather (I),123,124,
76,87,Orvil Red Feather (I),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],779,Knows of,Dene Oxendene,Jamie Red Feather,0,Orvil Red Feather (I),122,124,
77,87,Orvil Red Feather (I),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],788,Knows of,Dene Oxendene,Police,0,Orvil Red Feather (I),124,124,
78,87,Orvil Red Feather (I),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],792,Knows of,Dene Oxendene,CPS worker,0,Orvil Red Feather (I),124,124,
79,87,Orvil Red Feather (I),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],796,Knows of,Dene Oxendene,Opal Viola Victoria Bear Shield's Father,0,Orvil Red Feather (I),123,124,
80,87,Orvil Red Feather (I),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],800,Knows of,Dene Oxendene,Opal Viola Victoria Bear Shield,0,Orvil Red Feather (I),123,124,
81,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],198,Knows of,Maxine,Louise Erdrich,0,Tony Loneman (I),20,21,
