Relative Order,Event Name,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,229,229,7/30/1950,7/30/1950,3,376,T,"""Mr. Robert Ewell?"" asked Mr. Gilmer.",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,230,230,7/30/1950,7/30/1950,3,376,T,"""Are you the father of Mayella Ewell?"" was the next question.",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,231,231,7/30/1950,7/30/1950,3,376,T,"""What time was it, Mr. Ewell?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,232,232,7/30/1950,7/30/1950,3,376,T,"""Aw hush. She doesn't understand it, REverend, she ain't nine yet.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,233,233,7/30/1950,7/30/1950,3,376,T,Mr. Ewell reminded me of a deaf-mute.,T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,234,234,7/30/1950,7/30/1950,3,376,T,"""Then what did you do?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,235,235,7/30/1950,7/30/1950,3,376,T,"""Didn't you think she should have had a doctor, immediately?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,236,236,7/30/1950,7/30/1950,3,376,T,"""You heard it again, Mr. Ewell?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,237,237,7/30/1950,7/30/1950,3,376,T,Atticus was reaching into the inside pocket of his coat.,T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,238,238,7/30/1950,7/30/1950,3,376,T,"""About your writing with your left hand, are you ambidexterous, Mr. Ewell?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,239,239,7/30/1950,7/30/1950,3,376,T,But someone was booming again.,T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,240,240,7/30/1950,7/30/1950,3,376,T,"""Which porch?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,241,241,7/30/1950,7/30/1950,3,376,T,Mayella pointed to Tom Robinson.,T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,242,242,7/30/1950,7/30/1950,3,376,T,"""I don't remember too good...""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,243,243,7/30/1950,7/30/1950,3,376,T,"""Said I was nineteen, said it to the judge yonder.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,244,244,7/30/1950,7/30/1950,3,376,T,What on earth was her life like?,T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,245,245,7/30/1950,7/30/1950,3,376,T,The witness frowned as if puzzled.,T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,246,246,7/30/1950,7/30/1950,3,376,T,"""When he's—riled, has he ever beaten you?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,247,247,7/30/1950,7/30/1950,3,376,T,"""One did not's enough,"" said Atticus serenely.",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,248,248,7/30/1950,7/30/1950,3,376,T,"""No, I don't recollect if he hit me.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,249,249,7/30/1950,7/30/1950,3,376,T,"""Is this the man who raped you?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,250,250,7/30/1950,7/30/1950,3,376,T,"""Then he released your throat and hit you?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,251,251,7/30/1950,7/30/1950,3,376,T,"""Or didn't you scream until you saw your father in the window?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,252,252,7/30/1950,7/30/1950,3,376,T,"""It's time we all did. We'll take ten minutes.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,253,253,7/30/1950,7/30/1950,3,376,T,Presently Judge Taylor returned and climbed into his swivel chair.,T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,254,254,7/30/1950,7/30/1950,3,376,T,"Thomas Robinson reached around, ran his fingers under his left arm and lifted it.",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,255,255,7/30/1950,7/30/1950,3,376,T,Jem said Atticus was showing the jury that Tom had nothing to hide.,T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,256,256,7/30/1950,7/30/1950,3,376,T,"Judge Taylor instinctively reached for his gavel, but let his hand fall",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,257,257,7/30/1950,7/30/1950,3,376,T,"""No suh, Mr. Finch, I never did. I wouldn't do that, suh.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,258,258,7/30/1950,7/30/1950,3,376,T,"""It seemed real quiet like, an' I didn't quite know why.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,259,259,7/30/1950,7/30/1950,3,376,T,"""Not the same chiffarobe you busted up?"" asked Atticus.",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,260,260,7/30/1950,7/30/1950,3,376,T,"""Then what did she do?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,261,261,7/30/1950,7/30/1950,3,376,T,"""Tom, go back once more to Mr. Ewell,"" said Atticus.",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,262,262,7/30/1950,7/30/1950,3,376,T,"""Go ahead, Mr. Gilmer.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,263,263,7/30/1950,7/30/1950,3,376,T,"""Yes, suh, I reckon so.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,264,264,7/30/1950,7/30/1950,3,376,T,"""Yes, suh.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,265,265,7/30/1950,7/30/1950,3,376,T,"""If you had a clear conscience, why were you scared?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,266,266,7/30/1950,7/30/1950,3,376,T,"""Dill, that's his job.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,267,267,7/30/1950,7/30/1950,3,376,T,"""Come on round here, son, I got something that'll settle your stomach.""",T,T,T,T,T,F
