Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White man (flashlight),White man (spirit lamp),Darlene,Samson Fuller (Cholly's Father),Man (selling bus tickets),'Fat Black Lady' (on the bus),Old White-Haired Man,Men (in the alley),Pauline Breedlove,Sammy Breedlove,Pecola Breedlove,Clark Gable,Jean Harlow,The little Fisher girl,Mr. Fisher,Mrs. Fisher,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Rosemary Villanucci,Maureen Peal,Bay Boy,Woodrow Cain,Buddy Wilson,Junie Bug,Louis Junior,Geraldine,Mr. Buford,Mrs. Dunion,Soaphead Church,Pecola's Baby
,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia (narrator),71,71,1943-01-01,1993-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.","Bay Boy, Buddy Wilson, Claudia, Frieda, Junie Bug, Maureen Peal, Pecola Breedlove, and Woodrow Cain",,,,,,,,,,,,,,T,,,,,,,T,T,,,,T,T,T,T,T,,,,,,
,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia (narrator),72,72,1943-01-01,1993-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.","Bay Boy, Buddy Wilson, Claudia, Frieda, Junie Bug, Maureen Peal, Pecola Breedlove, and Woodrow Cain",,,,,,,,,,,,,,T,,,,,,,T,T,,,,T,T,T,T,T,,,,,,
,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia (narrator),73,73,1943-01-01,1993-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.","Bay Boy, Buddy Wilson, Claudia, Frieda, Junie Bug, Maureen Peal, Pecola Breedlove, and Woodrow Cain",,,,,,,,,,,,,,T,,,,,,,T,T,,,,T,T,T,T,T,,,,,,
,Junior tricks Pecola and blames her for killing the cat,1941-01-03,1941-01-03,T,3rd Person Narrator (The Bluest Eye),89,89,,,,,,"""Outside, the March wind blew into the rip in her dress"" (93)","Geraldine, Louis Junior, and Pecola Breedlove",,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,T,,,,
,Junior tricks Pecola and blames her for killing the cat,1941-01-03,1941-01-03,T,3rd Person Narrator (The Bluest Eye),90,90,,,,,,"""Outside, the March wind blew into the rip in her dress"" (93)","Geraldine, Louis Junior, and Pecola Breedlove",,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,T,,,,
,Junior tricks Pecola and blames her for killing the cat,1941-01-03,1941-01-03,T,3rd Person Narrator (The Bluest Eye),91,91,,,,,,"""Outside, the March wind blew into the rip in her dress"" (93)","Geraldine, Louis Junior, and Pecola Breedlove",,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,T,,,,
,Junior tricks Pecola and blames her for killing the cat,1941-01-03,1941-01-03,T,3rd Person Narrator (The Bluest Eye),94,94,,,,,,"""Outside, the March wind blew into the rip in her dress"" (93)","Geraldine, Louis Junior, and Pecola Breedlove",,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,T,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia (narrator),5,5,1943-01-01,1993-01-01,5,6,T,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia (narrator),6,6,1943-01-01,1993-01-01,5,6,T,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),161,161,,,,,,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
