id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
151,"Knows","brother of ""Yaw'l"" who killed ""Huge-Belly""","Nisg̱a’a","1","""The myth of the Dragon-Fly.""","670","679"
152,"Exchange","brothers of ""Yaw'l"" (Laxgibuu)","""Huge-Belly""","1","""The myth of the Dragon-Fly.""","670","679"
153,"Exchange","brothers of ""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")","1","""The myth of the Dragon-Fly.""","670","679"
154,"Knows","brothers of ""Yaw'l"" (Laxgibuu)","Nisg̱a’a","1","""The myth of the Dragon-Fly.""","670","679"
155,"Knows","""Ksemkaigyet"" (""female being"")","Nisg̱a’a","1","""The myth of the Dragon-Fly.""","670","679"
156,"Knows","speaker Abel","Laxgibuu (""Wolf clan"")","1","""this clan / covered the ground""","710","719"
157,"Knows","speaker Abel","Laxgibuu (""Wolf clan"")","1","""one by one""","730","739"
158,"Knows","speaker Abel","Nisg̱a’a","1","""broke n""","770","779"
159,"Knows","speaker Abel","Nisg̱a’a","1","""time calling / the / people""","790","799"
161,"Knows","speaker Abel","Nisg̱a’a","1","""summertime / in a strange country""","750","759"
162,"Knows","speaker Abel","Laxgibuu (""Wolf clan"")","1","""summertime / in a strange country""","750","759"
163,"Knows","speaker Abel","Nisg̱a’a","1","""with sand with blood""","810","819"
164,"Knows","speaker Abel","Nisg̱a’a","1","""their inner workings""","830","839"
165,"Knows","speaker Abel","""Ksemkaigyet"" (old man)","0","""the solitude / opened""","850","859"
166,"Knows","speaker Abel","""Ksemkaigyet"" (old man)","0","""his work / their working""","870","879"
167,"Knows","speaker Abel","Nisg̱a’a","1","""his work / their working""","870","879"
168,"Knows","speaker Abel","Nisg̱a’a","1","""split open""","890","899"
169,"Exchange","""Ksemkaigyet"" (old man)","""glass-nosed spirit""","1","""The Tale of the Blacked-Out Sky at Noon.""","930","939"
170,"Knows","biographical Abel","Jordan Abel's father","1","""12.06.2008""","970","979"
171,"Knows","biographical Abel","Jordan Abel's mother","1","""12.06.2008""","970","979"
172,"Exchange","biographical Abel","friends of Abel's parents","1","""12.06.2008""","970","979"
173,"Knows","biographical Abel","various totem poles in Vancouver","1","""12.06.2008""","970","979"
174,"Knows","speaker Abel","totem pole in Vancouver mall","1","""26.06.2008""","1050","1059"
175,"Knows","Sagaween (Laxsgiik)","""Gitrhawn clan""","1","""Myth explaining some of the crests""","1090","1099"
176,"Knows","Sagaween (Laxsgiik)","""Gunas"" (Laxsgiik)","0","""Myth explaining some of the crests""","1090","1099"
177,"Knows","Sagaween (Laxsgiik)","chief of ""Gitrhawn clan""","0","""Myth explaining some of the crests""","1090","1099"
178,"Knows","Sagaween (Laxsgiik)","""the Eagle""","0","""Myth explaining some of the crests""","1090","1099"
179,"Knows","Sagaween (Laxsgiik)","""the Spirit Halibut""","0","""Myth explaining some of the crests""","1090","1099"
181,"Knows","""Gunas"" (Laxsgiik)","chief of ""Gitrhawn clan""","1","""Myth explaining some of the crests""","1090","1099"
183,"Exchange","""Gunas"" (Laxsgiik)","""the Spirit Halibut""","1","""Myth explaining some of the crests""","1090","1099"
184,"Knows","""Gunas"" (Laxsgiik)","""the Eagle""","1","""Myth explaining some of the crests""","1090","1099"
187,"Knows","""Gitrhawn clan""","""the Eagle""","1","""Myth explaining some of the crests""","1090","1099"
188,"Knows","""Gitrhawn clan""","""the Spirit Halibut""","1","""Myth explaining some of the crests""","1090","1099"
189,"Exchange","chief of ""Gitrhawn clan""","""Gitrhawn clan""","1","""Myth explaining some of the crests""","1090","1099"
190,"Knows","""Gunas"" (Laxsgiik)","""Gitrhawn clan""","1","""Myth explaining some of the crests""","1090","1099"
191,"Knows","chief of ""Gitrhawn clan""","""the Eagle""","1","""Myth explaining some of the crests""","1090","1099"
192,"Knows","chief of ""Gitrhawn clan""","""the Spirit Halibut""","1","""Myth explaining some of the crests""","1090","1099"
193,"Knows","speaker Abel","""the Spirit""","0","""the / sockeye""","1130","1139"
194,"Knows","Sagaween (Laxsgiik)","Sagaween's father (Gisk'aast)","0","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
195,"Knows","Sagaween (Laxsgiik)","cedar bark squid","1","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
196,"Exchange","Sagaween (Laxsgiik)","visitors at Sagaween's house","1","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
197,"Exchange","Sagaween (Laxsgiik)","women singing","1","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
