
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"831","Knows","Evelina Harp","Junesse Malaterre","1","The Boots","57","58"
"835","Knows of","Evelina Harp","""Mustache"" Maude Black","0","The Boots","57","57"
"838","Knows of","Evelina Harp","Tribal Police","0","The Boots","57","57"
"842","Knows of","Evelina Harp","Severine Milk","0","The Boots","57","58"
"846","Knows of","Evelina Harp","Holy Track’s Mother","0","The Boots","57","58"
"850","Knows of","Evelina Harp","Aunt (who worked in Canada)","0","The Boots","58","58"
"857","Knows of","Evelina Harp","Asiginak","0","The Boots","59","59"
"860","Knows","Evelina Harp","Seraph Milk (Mooshum)","1","The Clothesline","59","59"
"861","Knows","Evelina Harp","Clemence Harp","1","The Clothesline","59","59"
"862","Knows","Evelina Harp","Edward Harp","1","The Clothesline","59","59"
"864","Knows","Evelina Harp","Joseph Harp","1","The Clothesline","59","59"
"871","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","The Basket Makers","60","61"
"872","Knows of","Evelina Harp","Asiginak","0","The Basket Makers","60","61"
"873","Knows of","Evelina Harp","Holy Track","0","The Basket Makers","60","61"
"874","Knows of","Evelina Harp","Babies","0","The Basket Makers","60","60"
"875","Knows of","Evelina Harp","Farm Women","0","The Basket Makers","60","60"
"879","Knows of","Evelina Harp","Cuthbert Peace","0","The Basket Makers","60","61"
"883","Knows","Evelina Harp","Joseph Harp","1","The Basket Makers","60","60"
"886","Knows of","Evelina Harp","Severine Milk","1","The Basket Makers","61","61"
"888","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","The Lochren Farm","61","62"
"889","Knows of","Evelina Harp","Holy Track","0","The Lochren Farm","61","63"
"894","Knows of","Evelina Harp","Asiginak","0","The Lochren Farm","61","63"
"895","Knows of","Evelina Harp","Cuthbert Peace","0","The Lochren Farm","61","63"
"900","Knows of","Evelina Harp","The Lochren Murder","0","The Lochren Farm","61","63"
"906","Knows of","Evelina Harp","Doctor Cordelia Lochren","0","The Lochren Farm","61","63"
"911","Knows of","Evelina Harp","Satan","0","The Lochren Farm","62","62"
"912","Knows of","Evelina Harp","The Lochren Family","0","The Lochren Farm","62","62"
"927","Knows of","Evelina Harp","Quintus Fells","0","The Lochren Farm","63","63"
"930","Knows","Evelina Harp","Seraph Milk (Mooshum)","1","The Lochren Farm","63","63"
"931","Knows of","Evelina Harp","Severine Milk","0","The Lochren Farm","63","63"
"932","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","A Little Medicine","64","65"
"933","Knows","Evelina Harp","Joseph Harp","1","A Little Medicine","64","64"
"936","Knows","Evelina Harp","Clemence Harp","1","A Little Medicine","64","64"
"939","Knows","Evelina Harp","Geraldine Milk","1","A Little Medicine","64","64"
"941","Knows of","Evelina Harp","Doctor Cordelia Lochren","0","A Little Medicine","64","64"
"946","Knows of","Evelina Harp","Oric Hoag","0","A Little Medicine","64","64"
"947","Knows of","Evelina Harp","Asiginak","0","A Little Medicine","64","65"
"951","Knows of","Evelina Harp","Emil Buckendorf","0","A Little Medicine","64","65"
"953","Knows of","Evelina Harp","Eugene Wildstrand","0","A Little Medicine","64","65"
"957","Knows of","Evelina Harp","The Lynching","0","A Little Medicine","64","65"
"967","Exchange","Evelina Harp","Joseph Harp","1","A Little Medicine","65","65"
"968","Knows of","Evelina Harp","Holy Track","1","A Little Medicine","65","65"
"972","Knows of","Evelina Harp","Holy Track","0","Confessional","65","67"
"973","Knows","Evelina Harp","Seraph Milk (Mooshum)","1","Confessional","65","65"
"975","Knows of","Evelina Harp","Severine Milk","0","Confessional","65","67"
"979","Knows of","Evelina Harp","Emil Buckendorf","0","Confessional","65","66"
"980","Knows of","Evelina Harp","Asiginak","0","Confessional","65","67"
"982","Knows of","Evelina Harp","The Lynching","0","Confessional","66","66"
"992","Knows of","Evelina Harp","Eugene Wildstrand","0","Confessional","65","66"
"994","Knows of","Evelina Harp","Quintus Fells","0","Confessional","66","66"
"999","Knows of","Evelina Harp","The Lochren Family","0","Confessional","66","67"
"1006","Knows of","Evelina Harp","The Lochren Murder","0","Confessional","66","67"
"1022","Knows of","Evelina Harp","Cuthbert Peace","0","Confessional","67","67"
