,source,target,type,weight,startPage,category
400,16.0,18.0,Directed,1,24,Knows
401,16.0,17.0,Directed,1,26,Exchange
402,16.0,103.0,Directed,1,26,Exchange
402,16.0,103.0,Directed,1,27,Exchange
403,16.0,15.0,Directed,1,27,Knows
404,16.0,61.0,Directed,1,27,Knows
405,16.0,17.0,Directed,1,27,Knows
406,16.0,18.0,Directed,1,31,Exchange
407,16.0,17.0,Directed,1,31,Knows
408,16.0,60.0,Directed,1,31,Knows of
408,16.0,60.0,Directed,1,32,Knows of
409,16.0,15.0,Directed,1,31,Exchange
410,16.0,103.0,Directed,1,31,Knows
411,16.0,113.0,Directed,1,32,Knows
412,16.0,27.0,Directed,1,34,Knows
413,16.0,18.0,Directed,1,36,Knows
414,16.0,17.0,Directed,1,36,Knows
415,16.0,103.0,Directed,1,36,Knows
416,16.0,15.0,Directed,1,42,Knows
