label,width,height,font_size,label_radius
White boy with Whiskey (9),390.00,30.00,25.0,195.58
White boys in Car (8),315.00,30.00,25.0,158.21
white folks who employ Richard's mother,585.00,30.00,25.0,292.88
white man coming forward,417.60,34.80,29.0,209.52
White man in a wagon (34),375.00,30.00,25.0,188.10
white man throwing greens,435.00,34.80,29.0,218.19
white man with gun (155),360.00,30.00,25.0,180.62
white man with red can (155),420.00,30.00,25.0,210.54
White men around the hotel (12),465.00,30.00,25.0,232.98
White men in the elevator (15),432.00,28.80,24.0,216.48
White night-watchman,300.00,30.00,25.0,150.75
White Nurse (87),259.20,32.40,27.0,130.61
White soldier with flashlight (102),504.00,28.80,24.0,252.41
white woman at desk,285.00,30.00,25.0,143.29
White Women,158.40,28.80,24.0,80.50
wife (of congregation member),452.40,31.20,26.0,226.74
Will,57.60,28.80,24.0,32.20
Will Sanders,230.40,38.40,32.0,116.79
William Sherman,216.00,28.80,24.0,108.96
Williams,249.60,62.40,52.0,128.64
Woman in the Clothing store,437.40,32.40,27.0,219.30
woman with baby (congregation member),777.00,42.00,35.0,389.07
“wicked men”,172.80,28.80,24.0,87.59
