label,width,height,font_size,label_radius
Gabriel's Grandmother,327.60,31.20,26.0,164.54
gangs,75.00,30.00,25.0,40.39
gardeners,129.60,28.80,24.0,66.38
Gawkers,105.00,30.00,25.0,54.60
General Custer,218.40,31.20,26.0,110.31
George Bush,158.40,28.80,24.0,80.50
George Coupland Thomas,330.00,30.00,25.0,165.68
George Takei,172.80,28.80,24.0,87.59
Gil-Scott Heron,216.00,28.80,24.0,108.96
Giovanni da Verazano,288.00,28.80,24.0,144.72
God,52.20,34.80,29.0,31.37
Griffith J. Griffith,300.00,30.00,25.0,150.75
Gringo Couple,195.00,30.00,25.0,98.65
Guaraní People,201.60,28.80,24.0,101.82
Guatemalans,158.40,28.80,24.0,80.50
Guest in the middle,376.20,39.60,33.0,189.14
Guest on the left,336.60,39.60,33.0,169.46
Guest on the right,356.40,39.60,33.0,179.30
guy singing like Pavarotti,390.00,30.00,25.0,195.58
Haitian farmers,216.00,28.80,24.0,108.96
Hanna-Barbera,187.20,28.80,24.0,94.70
Hapkido Masters,216.00,28.80,24.0,108.96
Heaven's Devils,225.00,30.00,25.0,113.50
Hell's Angels,195.00,30.00,25.0,98.65
Henrique Cardoso,240.00,30.00,25.0,120.93
Henry Hudson,172.80,28.80,24.0,87.59
Henry Huntington (Huntington Beach),504.00,28.80,24.0,252.41
Hernando (Dona Maria's son),793.80,58.80,49.0,397.99
Hernán Cortés,195.00,30.00,25.0,98.65
Hideo Nomo,150.00,30.00,25.0,76.49
Hiro (The Sushimaker),390.60,37.20,31.0,196.18
Hollywood Bowl audience,345.00,30.00,25.0,173.15
Hollywood Bowl Orchestra,360.00,30.00,25.0,180.62
Homeless Mother and her child,452.40,31.20,26.0,226.74
Homeless performance group (LAPD),495.00,30.00,25.0,247.95
Homeless trader,225.00,30.00,25.0,113.50
Homeless Vets,195.00,30.00,25.0,98.65
hospital aide,202.80,31.20,26.0,102.59
Hotel Manager,202.80,31.20,26.0,102.59
Housewives,150.00,30.00,25.0,76.49
Howard Hawks,180.00,30.00,25.0,91.24
Howard Stern,180.00,30.00,25.0,91.24
