
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"663","Knows of","Opal Viola Victoria Bear Shield","kids (at school)","0","Orvil Red Feather (I)","120","120"
"685","Knows","Opal Viola Victoria Bear Shield","Orvil Red Feather","1","Opal Viola Victoria Bear Shield (III)","159","159"
"686","Knows","Opal Viola Victoria Bear Shield","Loother Red Feather","1","Opal Viola Victoria Bear Shield (III)","159","160"
"687","Knows","Opal Viola Victoria Bear Shield","Lony Red Feather","1","Opal Viola Victoria Bear Shield (III)","159","160"
"688","Exchange","Opal Viola Victoria Bear Shield","Orvil Red Feather","1","Opal Viola Victoria Bear Shield (III)","160","160"
"689","Knows","Opal Viola Victoria Bear Shield","The neighbors","1","Opal Viola Victoria Bear Shield (III)","161","161"
"690","Exchange","Opal Viola Victoria Bear Shield","Woman in the car","1","Opal Viola Victoria Bear Shield (III)","161","161"
"691","Knows","Opal Viola Victoria Bear Shield","Ronald","1","Opal Viola Victoria Bear Shield (III)","161","161"
"692","Knows","Opal Viola Victoria Bear Shield","Victoria (Vicky)","0","Opal Viola Victoria Bear Shield (III)","161","161"
"693","Knows of","Opal Viola Victoria Bear Shield","people from foster care","0","Opal Viola Victoria Bear Shield (III)","161","161"
"694","Knows of","Opal Viola Victoria Bear Shield","people from group homes","0","Opal Viola Victoria Bear Shield (III)","161","161"
"695","Knows of","Opal Viola Victoria Bear Shield","Otis Redding","0","Opal Viola Victoria Bear Shield (III)","162","162"
"696","Knows of","Opal Viola Victoria Bear Shield","Smokey Robinson","0","Opal Viola Victoria Bear Shield (III)","162","162"
"697","Exchange","Opal Viola Victoria Bear Shield","Orvil Red Feather","1","Opal Viola Victoria Bear Shield (III)","162","163"
"698","Knows","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (III)","163","163"
"699","Exchange","Opal Viola Victoria Bear Shield","Lucas","1","Opal Viola Victoria Bear Shield (III)","163","164"
"701","Knows of","Opal Viola Victoria Bear Shield","Lucus's sister","1","Opal Viola Victoria Bear Shield (III)","164","164"
"702","Exchange","Opal Viola Victoria Bear Shield","Lony Red Feather","1","Opal Viola Victoria Bear Shield (III)","164","165"
"703","Exchange","Opal Viola Victoria Bear Shield","Orvil Red Feather","1","Opal Viola Victoria Bear Shield (III)","164","165"
