
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"1512","Knows","Octavio Gomez","Big Oakland Powwow","0","Calvin Johnson (IV) (2)","272","273"
"1524","Exchange","Octavio Gomez","Charles","1","Thomas Frank (IV) (2)","274","274"
"1525","Exchange","Octavio Gomez","Carlos","1","Thomas Frank (IV) (2)","274","274"
"1532","Knows","Octavio Gomez","Big Oakland Powwow","0","Thomas Frank (IV) (2)","274","274"
"1558","Knows","Octavio Gomez","Big Oakland Powwow","0","Opal Viola Victoria Bear Shield (IV) (2)","278","278"
"1608","Knows","Octavio Gomez","Big Oakland Powwow","0","Jacquie Red Feather (IV) (2)","279","280"
"1659","Exchange","Octavio Gomez","Carlos","1","Tony Loneman (IV) (2)","286","287"
"1660","Exchange","Octavio Gomez","Charles","1","Tony Loneman (IV) (2)","286","287"
"1667","Knows","Octavio Gomez","Big Oakland Powwow","0","Tony Loneman (IV) (2)","286","287"
"734","Knows","Josefina","Octavio Gomez's Father","1","Octavio Gomez (III)","171","172"
"735","Knows","Josefina","Sixto","1","Octavio Gomez (III)","172","172"
"737","Exchange","Josefina","Josefina's Father","1","Octavio Gomez (III)","172","173"
"739","Exchange","Josefina","Josefina's Mother","1","Octavio Gomez (III)","172","173"
"742","Knows","Josefina","Josefina's love interest","1","Octavio Gomez (III)","172","173"
"746","Knows","Josefina","Josefina's Uncle","1","Octavio Gomez (III)","173","173"
"758","Knows","Josefina","Manny Gonzales","1","Octavio Gomez (III)","175","175"
"759","Knows","Josefina","Daniel Gonzales","1","Octavio Gomez (III)","175","175"
"767","Knows","Josefina","Octavio Gomez's Mother","1","Octavio Gomez (III)","175","175"
"911","Knows","Josefina","Sixto","1","Octavio Gomez (III)","178","179"
"918","Knows of","Josefina","Police Officers","0","Octavio Gomez (III)","178","178"
"934","Exchange","Josefina","Badger","1","Octavio Gomez (III)","183","185"
"944","Knows","Josefina","Sixto","1","Octavio Gomez (III)","185","186"
"945","Knows","Josefina","Junior","1","Octavio Gomez (III)","185","186"
"948","Knows","Josefina","Octavio Gomez's Mother","0","Octavio Gomez (III)","186","186"
"249","Knows","Bill Davis","Karen","1","Bill Davis (II)","82","82"
"250","Knows","Bill Davis","Edwin Black","1","Bill Davis (II)","82","84"
"251","Exchange","Bill Davis","Karen","1","Bill Davis (II)","83","84"
"252","Knows of","Bill Davis","Vet on the bus","0","Bill Davis (II)","84","84"
"253","Knows of","Bill Davis","Vida Blue","0","Bill Davis (II)","85","85"
"254","Knows of","Bill Davis","Catfish Hunter","0","Bill Davis (II)","85","85"
"255","Knows of","Bill Davis","Reggie Jackson","0","Bill Davis (II)","85","85"
"256","Knows of","Bill Davis","Charlie Finley","0","Bill Davis (II)","85","85"
"270","Exchange","Bill Davis","Person stabbed by Bill Davis","1","Bill Davis (II)","85","85"
"271","Knows of","Bill Davis","Hunter S. Thompson","0","Bill Davis (II)","85","85"
"272","Knows of","Bill Davis","Oscar Zeta Acosta","0","Bill Davis (II)","85","85"
"273","Knows of","Bill Davis","F. Scott Fitzgerald","0","Bill Davis (II)","85","85"
"274","Knows of","Bill Davis","Ernest Hemingway","0","Bill Davis (II)","85","85"
"275","Knows of","Bill Davis","Raymond Carver","0","Bill Davis (II)","85","85"
"276","Knows of","Bill Davis","William Faulkner","0","Bill Davis (II)","85","85"
"277","Knows of","Bill Davis","Ken Kesey","0","Bill Davis (II)","85","85"
"279","Knows of","Bill Davis","Richard Brautigan","0","Bill Davis (II)","85","85"
"280","Knows of","Bill Davis","Jack London","0","Bill Davis (II)","86","86"
"281","Knows of","Bill Davis","Stephen King","0","Bill Davis (II)","86","86"
"282","Knows of","Bill Davis","Elmore Leonard","0","Bill Davis (II)","86","86"
"283","Knows of","Bill Davis","Oakland Athletics","0","Bill Davis (II)","84","86"
"284","Knows of","Bill Davis","San Francisco sports teams","0","Bill Davis (II)","85","85"
"285","Knows of","Bill Davis","Oakland Raiders","0","Bill Davis (II)","85","85"
"330","Knows of","Bill Davis","Sixty-three casualties of Loma Prieta Earthquake","0","Bill Davis (II)","86","86"
"402","Knows of","Bill Davis","Narrator of One Flew over the Cuckoo's Nest","0","Bill Davis (II)","85","85"
"498","Knows","Bill Davis","Postgame crew","1","Bill Davis (II)","81","81"
"500","Knows of","Bill Davis","""vet on the bus""","1","Bill Davis (II)","84","84"
"1535","Knows","Bill Davis","Edwin Black","1","Bill Davis (IV)","276","276"
"1536","Exchange","Bill Davis","Karen","1","Bill Davis (IV)","276","277"
