
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"1077","Knows of","Alex","Catwoman","0","13 Pure Language","323","323"
"1078","Knows","Alex","JD (Alex's parrot)","1","13 Pure Language","324","324"
"1079","Knows","Alex","Sancho (Alex's parrot)","1","13 Pure Language","324","324"
"1080","Knows","Alex","Cat (Alex's parrot)","1","13 Pure Language","324","324"
"1084","Knows","Alex","Cara-Ann (Alex's daughter)","1","13 Pure Language","325","325"
"1085","Knows","Alex","Bennie Salazar","1","13 Pure Language","325","325"
"1086","Knows","Alex","""guy"" (who snatched Rebecca's purse)","1","13 Pure Language","325","325"
"1088","Knows","Alex","Sasha","1","13 Pure Language","325","325"
"1093","Knows","Alex","Rebecca's first roommate","1","13 Pure Language","325","325"
"1094","Knows","Alex","Rebecca's second roommate","1","13 Pure Language","325","325"
"1095","Knows","Alex","Rebecca's third roommate","1","13 Pure Language","325","325"
"1101","Knows of","Alex","Scotty Hausmann","0","13 Pure Language","326","327"
"1105","Knows","Alex","Alex's blind parrots","1","13 Pure Language","326","327"
"1106","Exchange","Alex","Bennie Salazar","1","13 Pure Language","326","326"
"1109","Knows of","Alex","Scotty Hausmann's fans","0","13 Pure Language","326","326"
"1110","Exchange","Alex","Cara-Ann (Alex's daughter)","1","13 Pure Language","327","328"
"1112","Knows","Alex","""men"" (outside Alex's windows)","0","13 Pure Language","327","327"
"1130","Knows of","Alex","""three-month old"" (Nine Inch Nails)","0","13 Pure Language","313","313"
"1131","Knows of","Alex","Nine Inch Nails (band)","0","13 Pure Language","313","313"
"1133","Knows of","Alex","Biggie","0","13 Pure Language","313","313"
"1134","Knows of","Alex","""toddler"" (in Native American headdress)","0","13 Pure Language","313","313"
"1135","Exchange","Alex","Rebecca (Alex's wife)","1","13 Pure Language","328","331"
"1138","Knows of","Alex","Scotty Hausmann","0","13 Pure Language","328","328"
"1140","Knows","Alex","Bennie Salazar","1","13 Pure Language","328","328"
"1141","Exchange","Alex","Zeus (Alex's friend)","1","13 Pure Language","328","329"
"1142","Knows","Alex","Natasha (Zeus's Russian girlfriend)","1","13 Pure Language","328","328"
"1149","Knows","Alex","Zeus's first twin","1","13 Pure Language","328","328"
"1150","Knows","Alex","Zeus's second twin","1","13 Pure Language","328","328"
"1152","Exchange","Alex","Natasha (Zeus's Russian girlfriend)","1","13 Pure Language","329","329"
"1153","Knows","Alex","Sasha","0","13 Pure Language","329","329"
"1156","Knows of","Alex","Jesus Christ","0","13 Pure Language","330","330"
"1157","Knows of","Alex","Scotty Hausmann","0","13 Pure Language","330","331"
"1158","Knows","Alex","Cara-Ann (Alex's daughter)","1","13 Pure Language","330","331"
"1160","Exchange","Alex","Bennie Salazar","1","13 Pure Language","331","332"
"1161","Exchange","Alex","Lulu Peale","1","13 Pure Language","331","331"
"1164","Knows","Alex","Scotty Hausmann","1","13 Pure Language","332","332"
"1166","Knows","Alex","Bennie Salazar","1","13 Pure Language","333","333"
"1167","Knows","Alex","Scotty Hausmann","1","13 Pure Language","333","334"
"1168","Exchange","Alex","Bennie Salazar","1","13 Pure Language","334","334"
"196","Knows","Lassimo Hotel Concierge","""two security guys"" (Lassimo Hotel)","1","1 Found Objects","10","11"
"330","Exchange","Lassimo Hotel Concierge","""the police"" (p10)","1","1 Found Objects","10","10"
"331","Exchange","Lassimo Hotel Concierge","""security"" (on the phone)","1","1 Found Objects","10","10"
"535","Knows","Lassimo Hotel Concierge","""the police"" (p10)","0","1 Found Objects","9","9"
"465","Knows","Lizzie","Bix","1","10 Out of Body","188","189"
"471","Exchange","Lizzie","Robert Freeman Jr.","1","10 Out of Body","189","191"
"472","Exchange","Lizzie","Lizzie's mother","1","10 Out of Body","189","189"
"473","Knows","Lizzie","Lizzie's father","1","10 Out of Body","189","189"
"546","Knows","Lizzie","Lizzie's father","1","10 Out of Body","197","197"
"547","Knows","Lizzie","Lizzie's mother","1","10 Out of Body","197","197"
"594","Knows","Lizzie","Lizzie's father","1","10 Out of Body","203","203"
"595","Knows","Lizzie","Lizzie's mother","1","10 Out of Body","203","203"
"224","Exchange","Stop/Go sisters","Stop/Go Producer 1","1","2 The Gold Cure","20","20"
"225","Exchange","Stop/Go sisters","Stop/Go Producer 2","1","2 The Gold Cure","20","20"
"226","Exchange","Stop/Go sisters","Stop/Go Producer 3","1","2 The Gold Cure","20","20"
"375","Knows","Stop/Go sisters","Stop/Go's manager (their father)","1","2 The Gold Cure","27","27"
"376","Knows","Stop/Go sisters","Stop/Go's mother","1","2 The Gold Cure","27","27"
"220","Exchange","Collette","Bennie Salazar","1","2 The Gold Cure","19","21"
"221","Knows","Collette","Stop/Go sisters","1","2 The Gold Cure","19","19"
"222","Knows of","Collette","Olivia (Louisa's daughter)","0","2 The Gold Cure","19","19"
"231","Knows","Collette","Stop/Go's manager (their father)","1","2 The Gold Cure","20","20"
"365","Knows","Mother Superior","""cloistered nuns""","1","2 The Gold Cure","20","21"
"366","Knows","Mother Superior","God","1","2 The Gold Cure","20","20"
"251","Knows","Christopher Salazar","Dr. Beet","1","2 The Gold Cure","24","24"
"255","Knows of","Christopher Salazar","Stop/Go sisters","0","2 The Gold Cure","26","26"
"257","Knows of","Christopher Salazar","Pearl Jam","0","2 The Gold Cure","27","27"
"252","Knows","Stephanie","Bennie Salazar","1","2 The Gold Cure","24","24"
"253","Knows","Stephanie","Christopher Salazar","1","2 The Gold Cure","24","24"
"369","Knows of","Stephanie","""jazz pianist""","0","2 The Gold Cure","23","23"
"1063","Knows","Stephanie","Dolly Peale","1","13 Pure Language","318","318"
"395","Exchange","Kitty Jackson","""waiter"" (pg. 168)","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","168","168"
"399","Knows","Kitty Jackson","""waiter"" (pg. 168)","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","171"
"400","Knows","Kitty Jackson","""[Kitty's] director"" (pg. 170)","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","170"
"401","Knows","Kitty Jackson","Tom Cruise","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","172"
"404","Knows","Kitty Jackson","Nicole Kidman","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
"406","Knows","Kitty Jackson","""children"" (Tom Cruise and Nicole Kidman's)","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
"429","Knows","Kitty Jackson","Jake","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","178","178"
"436","Knows","Kitty Jackson","""someone else"" (riding Nixon)","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","181","181"
