id,Character,Event
167,E Alma Singer,E Alma discovers that Alma Mereminski has died
168,E Alma Singer,E Alma discovers Jacob Marcus is Isaac Moritz
169,E Leo,E Leo sends Isaac 'WORDS FOR EVERYTHING'
170,E Bird,E Bird learns about Alma's search
171,E Misha Shklovsky,E Bird learns about Alma's search
172,E Alma Singer,E Alma and Herman go to Isaac's house
173,E Herman Cooper,E Alma and Herman go to Isaac's house
174,E Isaac Moritz,E Isaac dies
175,E Leo,E Leo finds out about Isaac's death
176,E Alma Singer,E Alma learns of Isaac's death
177,E Bernard Moritz,E Bernard calls for Alma (revealing Leo's identity to Bird)
178,E Bird,E Bernard calls for Alma (revealing Leo's identity to Bird)
179,E Bird,E Bird sends Leo 'The History of Love' and letters to Leo and Alma
180,E Leo,E Bird sends Leo 'The History of Love' and letters to Leo and Alma
181,E Bird,E Bird sends Alma and Leo letters
182,E Alma Singer,E Bird sends Alma and Leo letters
183,E Leo,E Bird sends Alma and Leo letters
184,E Leo,E Leo attends Isaac's funeral
185,E Bernard Moritz,E Leo attends Isaac's funeral
186,E Man in a Yellow Bow Tie and a White Jacket,E Leo attends Isaac's funeral
187,E Leo,E Leo recieves 'The History of Love'
188,E Leo,E Leo goes to Isaac's house to retrieve 'Words for Everything'
189,E Bruno,E Leo goes to Isaac's house to retrieve 'Words for Everything'
190,E Alma Singer,E Alma receives Bird's letter
191,E Leo,E Leo learns that Isaac published 'Words for Everything'
192,E Man (from Fact-Checking Department),E Leo learns that Isaac published 'Words for Everything'
193,E Man (from Fiction Department),E Leo goes to Isaac's house to retrieve 'Words for Everything'
194,E Leo,E Leo receives Bird's letter
195,E Alma Singer,E Alma and Leo meet
196,E Leo,E Alma and Leo meet
197,E Alma Singer,E Alma realizes that Leo wrote 'The History of Love'
198,E Leo,E Alma and Leo meet
199,Damuddy,Damuddy's death
200,Caroline Bascomb Compson,Damuddy's death
201,Jason Compson III,Damuddy's death
202,Quentin Compson III,Damuddy's death
203,Caddy Compson,Damuddy's death
204,Benjamin Compson,Damuddy's death
205,Jason Compson IV,Damuddy's death
206,Versh Gibson,Damuddy's death
207,Frony Gibson,Damuddy's death
208,T.P.,Damuddy's death
209,Roskus Gibson,Damuddy's death
210,Benjamin Compson,Changing Benjamin's name
211,Caddy Compson,Changing Benjamin's name
212,Caroline Bascomb Compson,Changing Benjamin's name
213,Jason Compson III,Changing Benjamin's name
214,Dilsey Gibson,Changing Benjamin's name
215,Versh Gibson,Changing Benjamin's name
216,Caddy Compson,"Caddy wears perfume, which upsets Benjamin"
217,Benjamin Compson,"Caddy wears perfume, which upsets Benjamin"
218,Dilsey Gibson,"Caddy wears perfume, which upsets Benjamin"
219,Caddy Compson,Patterson Affair
220,Benjamin Compson,Patterson Affair
221,Mr. Patterson,Patterson Affair
222,Mrs. Patterson,Patterson Affair
223,Maury Bascomb,Patterson Affair
224,Caddy Compson,Caddy and Charlie hook up
225,Benjamin Compson,Caddy and Charlie hook up
226,Charlie,Caddy and Charlie hook up
227,Caddy Compson,Caddy and Herbert's Wedding
228,Herbert Head,Caddy and Herbert's Wedding
229,Caroline Bascomb Compson,Caddy and Herbert's Wedding
230,Jason Compson III,Caddy and Herbert's Wedding
231,Jason Compson IV,Caddy and Herbert's Wedding
232,Benjamin Compson,Caddy and Herbert's Wedding
233,Quentin Compson III,Caddy and Herbert's Wedding
234,T.P.,Caddy and Herbert's Wedding
235,Benjamin Compson,Benjamin attacks a girl and is castrated
236,Little girl (Benjy ran after),Benjamin attacks a girl and is castrated
237,Caroline Bascomb Compson,The Compson family visits the cemetery without Jason
238,Doctor,Benjamin attacks a girl and is castrated
239,Benjamin Compson,The Compson family visits the cemetery without Jason
240,T.P.,The Compson family visits the cemetery without Jason
241,Dilsey Gibson,The Compson family visits the cemetery without Jason
242,Roskus Gibson,Roskus dies
243,Dilsey Gibson,Roskus dies
244,Benjamin Compson,Benjamin's pasture sold so Quentin can go to Harvard
245,Quentin Compson III,Benjamin's pasture sold so Quentin can go to Harvard
246,Caroline Bascomb Compson,Benjamin's pasture sold so Quentin can go to Harvard
247,Jason Compson III,Benjamin's pasture sold so Quentin can go to Harvard
248,Jason Compson IV,Herbert Head promises Jason a bank job
249,Herbert Head,Herbert Head promises Jason a bank job
250,Quentin Compson III,Quentin commits suicide
251,Herbert Head,Herbert Head divorces Caddy
252,Caddy Compson,Herbert Head divorces Caddy
254,Herbert Head,Jason loses bank job
255,Jason Compson IV,Jason loses bank job
256,Caddy Compson,Jason loses bank job
257,Miss Quentin Compson,Quentin Jr. gets sent to live with the Compsons
258,Caddy Compson,Quentin Jr. gets sent to live with the Compsons
259,Caroline Bascomb Compson,Quentin Jr. gets sent to live with the Compsons
