Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,id_x,Novel_x,Duration,Preceding Event,id_y,Container,TT Description,id,Novel_y,Preceding t-t
,Benjamin attacks a girl and is castrated,1910-01-01,1910-01-01,T,Jason Compson IV (narrator),253,253,1928-04-06,1928-04-06,180,264,F,"Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)",195,The Sound and the Fury,0,Quentin commits suicide,369,"April Sixth, 1928.",Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928),39,The Sound and the Fury,Jason loses money at the stock market (April sixth 1928)
,Benjamin attacks a girl and is castrated,1910-01-01,1910-01-01,T,Jason Compson IV (narrator),263,263,1928-04-06,1928-04-06,180,264,F,"Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)",195,The Sound and the Fury,0,Quentin commits suicide,370,"April Sixth, 1928.",Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928),39,The Sound and the Fury,Jason loses money at the stock market (April sixth 1928)
,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Benjamin Compson (narrator),19,19,1928-04-07,1928-04-07,3,75,F,Dates collected from Ross and Polk,183,The Sound and the Fury,0,Patterson Affair,341,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),94,94,1910-06-02,1910-06-02,76,179,F,Dates collected from Ross and Polk,183,The Sound and the Fury,0,Patterson Affair,447,"June Second, 1910",Quentin sends his note to his father (June second 1910),23,The Sound and the Fury,Quentin writes notes to his father and Shreve (June second 1910)
,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),102,102,1910-06-02,1910-06-02,76,179,F,Dates collected from Ross and Polk,183,The Sound and the Fury,0,Patterson Affair,448,"June Second, 1910",Quentin gives Shreve's note to Deacon (June second 1910),24,The Sound and the Fury,Quentin sends his note to his father (June second 1910)
,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),124,124,1910-06-02,1910-06-02,76,179,F,Dates collected from Ross and Polk,183,The Sound and the Fury,0,Patterson Affair,449,"June Second, 1910",Quentin buys tire irons and hides them (June second 1910),25,The Sound and the Fury,Quentin gives Shreve's note to Deacon (June second 1910)
,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),174,174,1910-06-02,1910-06-02,76,179,F,Dates collected from Ross and Polk,183,The Sound and the Fury,0,Patterson Affair,450,"June Second, 1910",Quentin dresses up (June second 1910),29,The Sound and the Fury,Quentin fights Gerald (June second 1910)
,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Jason Compson IV (narrator),197,197,1928-04-06,1928-04-06,180,264,F,Dates collected from Ross and Polk,183,The Sound and the Fury,0,Patterson Affair,354,"April Sixth, 1928.",Jason recieves Caddy's letter (April sixth 1928),32,The Sound and the Fury,Jason drives Quentin Jr. to school (April sixth 1928)
,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Jason Compson IV (narrator),233,233,1928-04-06,1928-04-06,180,264,F,Dates collected from Ross and Polk,183,The Sound and the Fury,0,Patterson Affair,355,"April Sixth, 1928.",Jason sees Quentin with the band member wearing the red tie (April sixth 1928),36,The Sound and the Fury,Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)
,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Jason Compson IV (narrator),262,262,1928-04-06,1928-04-06,180,264,F,Dates collected from Ross and Polk,183,The Sound and the Fury,0,Patterson Affair,356,"April Sixth, 1928.",Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928),39,The Sound and the Fury,Jason loses money at the stock market (April sixth 1928)
