Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White men,Darlene,Pauline Breedlove,Pecola Breedlove,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Maureen Peal,Louis Junior,Geraldine,Soaphead Church,Pecola's Baby
20,Pecola knocks over her Mother's cobbler at the Fisher's house,1941-03-20,1941-05-05,T,Claudia,108,108,1943-01-01,1943-01-01,97,109,T,"""early spring"" (106)",,,,,,,T,T,,T,T,,,,,,,
20,Pecola knocks over her Mother's cobbler at the Fisher's house,1941-03-20,1941-05-05,T,Claudia,109,109,1943-01-01,1943-01-01,97,109,T,"""early spring"" (106)",,,,,,,T,T,,T,T,,,,,,,
22,Mr. Henry assaults Frieda,1941-03-20,1941-05-05,T,Claudia,99,99,1943-01-01,1943-01-01,97,109,T,"""early spring""(106)",,,,,,,,,T,,T,T,T,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia,206,206,1943-01-01,1943-01-01,204,204,T,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia,5,5,1943-01-01,1943-01-01,5,6,T,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia,6,6,1943-01-01,1943-01-01,5,6,T,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
22,Mr. Henry assaults Frieda,1941-03-20,1941-05-05,T,Claudia,100,100,1943-01-01,1943-01-01,97,109,T,"""early spring""(106)",,,,,,,,,T,,T,T,T,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia,190,190,1943-01-01,1943-01-01,187,192,T,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia,189,189,1943-01-01,1943-01-01,187,192,T,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia,188,188,1943-01-01,1943-01-01,187,192,T,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
22,Mr. Henry assaults Frieda,1941-03-20,1941-05-05,T,Claudia,98,98,1943-01-01,1943-01-01,97,109,T,"""early spring""(106)",,,,,,,,,T,,T,T,T,,,,,
23,Cholly passes away,1941-06-22,1941-12-22,T,Claudia,6,6,1943-01-01,1943-01-01,5,6,T,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",,T,,,,,,,,,,,,,,,,
23,Cholly passes away,1941-06-22,1941-12-22,T,Claudia,205,205,1943-01-01,1943-01-01,204,204,T,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",,T,,,,,,,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Claudia,205,205,1943-01-01,1943-01-01,204,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
25,Pecola loses her baby,1941-09-23,1941-12-22,T,Claudia,6,6,1943-01-01,1943-01-01,5,6,T,"""[T]here were no marigolds in the fall of 1941"" (5)",,,,,,,,T,,,,,,,,,,T
25,Pecola loses her baby,1941-09-23,1941-12-22,T,Claudia,204,204,1943-01-01,1943-01-01,204,204,T,"""[T]here were no marigolds in the fall of 1941"" (5)",,,,,,,,T,,,,,,,,,,T
25,Pecola loses her baby,1941-09-23,1941-12-22,T,Claudia,5,5,1943-01-01,1943-01-01,5,6,T,"""[T]here were no marigolds in the fall of 1941"" (5)",,,,,,,,T,,,,,,,,,,T
7,Pauline is 'educated' by the movies,1925-01-01,1926-01-01,T,Pauline Breedlove,123,123,1943-01-01,1943-01-01,123,126,T,"""There I was, five months pregnant, trying to look like Jean Harlow"" (123)",,,,,,,T,,,,,,,,,,,
8,Sammy is born,1926-01-01,1926-01-01,T,Pauline Breedlove,123,123,1943-01-01,1943-01-01,123,126,T,"""Sammy, [is] fourteen years old"" (35) in 1940, as Claudia states ""there were no marigolds in the fall of 1941"" (5) and then picks up the narration from the previous ""Autumn""(7)",,,,,,,T,,,,,,,,,,,
10,Pecola is born,1929-01-01,1929-01-01,T,Pauline Breedlove,125,125,1943-01-01,1943-01-01,123,126,T,"""Pecola, [is] eleven years old""  (35) in 1940, as Claudia states ""there were no marigolds in the fall of 1941"" (5) and then picks up the narration from the previous ""Autumn""(7)",,,,,,,T,T,,,,,,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Pecola Breedlove,201,201,1943-01-01,1943-01-01,193,204,T,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Pecola Breedlove,199,199,1943-01-01,1943-01-01,193,204,T,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
23,Cholly passes away,1941-06-22,1941-12-22,T,Pecola Breedlove,200,200,1943-01-01,1943-01-01,193,204,T,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",,T,,,,,,,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,201,201,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,193,193,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,194,194,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,195,195,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,200,200,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,196,196,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,202,202,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,198,198,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,203,203,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,199,199,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,Pecola Breedlove,197,197,1943-01-01,1943-01-01,193,204,T,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
