,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
108,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],452,Knows,Evelina Harp,Father Cassidy,1,A Little Nip,23,28.0,
109,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],453,Exchange,Evelina Harp,Joseph Harp,1,A Little Nip,23,23.0,
110,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],460,Knows,Evelina Harp,Joseph Harp,1,A Little Nip,24,24.0,
111,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],468,Exchange,Evelina Harp,Joseph Harp,1,A Little Nip,25,30.0,
112,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],469,Exchange,Evelina Harp,Clemence Harp,1,A Little Nip,26,26.0,
113,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],477,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,27,27.0,
114,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],482,Knows,Evelina Harp,Edward Harp,1,A Little Nip,28,29.0,
115,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],483,Knows,Evelina Harp,Geraldine Milk,1,A Little Nip,28,29.0,
116,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],485,Knows,Evelina Harp,Evelina and Joseph's Friends,1,A Little Nip,28,28.0,
117,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],487,Knows,Evelina Harp,Peace Cousins,1,A Little Nip,28,28.0,
118,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],489,Knows,Evelina Harp,Corwin Peace,1,A Little Nip,28,28.0,
119,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],491,Knows,Evelina Harp,Other Cousins (Evelina and Joseph's),1,A Little Nip,28,28.0,
120,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],493,Knows,Evelina Harp,Evelina's Girlfirends,1,A Little Nip,28,28.0,
121,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],494,Exchange,Evelina Harp,Clemence Harp,1,A Little Nip,28,28.0,
122,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],497,Exchange,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,29,31.0,
123,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],498,Exchange,Evelina Harp,Edward Harp,1,A Little Nip,30,31.0,
124,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],500,Exchange,Evelina Harp,Shamengwa Milk,1,A Little Nip,30,30.0,
125,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],502,Knows of,Evelina Harp,Louis Riel,0,A Little Nip,30,30.0,
126,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],505,Knows of,Evelina Harp,Gabriel Dumont,0,A Little Nip,30,30.0,
127,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],511,Knows,Evelina Harp,"""Mixed-bloods""",1,A Little Nip,30,30.0,
128,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],512,Knows,Evelina Harp,"""Indians""",1,A Little Nip,30,30.0,
129,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],518,Exchange,Evelina Harp,Clemence Harp,1,A Little Nip,31,32.0,
130,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],521,Knows,Evelina Harp,Father Cassidy,1,A Little Nip,31,34.0,
131,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],524,Knows of,Evelina Harp,God,0,A Little Nip,31,33.0,
132,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],525,Knows,Evelina Harp,Joseph Harp,1,A Little Nip,31,31.0,
133,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],529,Exchange,Evelina Harp,Joseph Harp,1,A Little Nip,32,32.0,
134,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],532,Exchange,Evelina Harp,Geraldine Milk,1,A Little Nip,32,32.0,
135,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],536,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,32,36.0,
136,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],537,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,32,34.0,
137,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],542,Knows of,Evelina Harp,Louis Riel,0,A Little Nip,33,34.0,
138,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],545,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,33,37.0,
139,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],549,Knows,Evelina Harp,Neve Harp,1,A Little Nip,34,36.0,
140,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],689,Knows of,Evelina Harp,Neve Harp's potential Stepchildren,0,A Little Nip,35,35.0,
141,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],690,Knows of,Evelina Harp,Neve Harp's potential third Husband,0,A Little Nip,35,35.0,
142,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],691,Knows of,Evelina Harp,Neve Harp's second Husband,0,A Little Nip,35,35.0,
143,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],692,Knows of,Evelina Harp,John Wildstrand,0,A Little Nip,35,35.0,
144,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],693,Knows,Evelina Harp,Joseph Harp,1,A Little Nip,35,36.0,
145,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],696,Knows,Evelina Harp,Edward Harp,1,A Little Nip,35,36.0,
146,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],706,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,36,36.0,
147,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],710,Knows,Evelina Harp,Geraldine Milk,1,A Little Nip,36,36.0,
148,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],711,Knows of,Evelina Harp,Shamengwa's Wife,0,A Little Nip,36,36.0,
149,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],713,Knows,Evelina Harp,Father Cassidy,1,A Little Nip,36,38.0,
150,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],718,Exchange,Evelina Harp,Joseph Harp,1,A Little Nip,37,39.0,
151,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Shamengwa Milk,1,A Little Nip,37,40.0,
152,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,37,42.0,
153,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],728,Knows of,Evelina Harp,Louis Riel,0,A Little Nip,38,38.0,
