Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
54,Alma and Leo meet,2000-10-21,,T,Alma Singer ,241,0,2000-10-21,2001-09-14,241,241,T,Afte4:00PM (212).,Alma Singer and Leo Gursky,,T,,,,,,,T,,,
26,David Singedies,1992-09-14,1993-09-28,T,Bird,206,0,2000-03-10,,203,207,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
40,Misha calls foAlma (exposing hesearch fosomeone to Bird),2000-03-10,,T,Bird,207,0,2000-03-10,,203,207,T,"""Octobe3"" (206).","Alma Singer, Bird, and Misha Shklovsky",,,,,,,,,T,T,T,
43,Bernard calls foAlma (revealing Leo's identity to Bird),2000-06-10,,T,Bird,217,0,2000-06-10,,213,218,T,"""Octobe6"" (215).",Alma Singer and Bird,,,,,,,,,T,,T,
43,Bernard calls foAlma (revealing Leo's identity to Bird),2000-06-10,,T,Bird,216,0,2000-06-10,,213,218,T,"""Octobe6"" (215).",Alma Singer and Bird,,,,,,,,,T,,T,
1,Alma Mereminski is born,1920-02-21,,T,Leo Gurksy,128,0,2000-01-12,2001-01-31,119,129,T,"""[Alma's] birthday was the twenty-first of February (making heoldethan me by five months and twenty-eight days)"" (128)",Alma Mereminski,T,,,,,,,,,,,
2,Leo is born,1920-08-18,,T,Leo Gurksy,255,0,2000-01-12,2001-01-31,255,255,T,"""Leopold Gursky started dying on August 18, 1920""",Leo Gursky,,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,230,0,2000-01-12,2001-01-31,230,230,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,80,0,2000-01-12,2001-01-31,75,92,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,85,0,2000-01-12,2001-01-31,75,92,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,90,0,2000-01-12,2001-01-31,75,92,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,126,0,2000-01-12,2001-01-31,119,129,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,127,0,2000-01-12,2001-01-31,119,129,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,128,0,2000-01-12,2001-01-31,119,129,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,129,0,2000-01-12,2001-01-31,119,129,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,133,0,2000-01-12,2001-01-31,132,134,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
