Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
12,Dill returns to Maycomb,1935-01-08,1935-01-08,T,Scout,188,188,1936-07-30,1936-07-30,3,376,T,Beneath its sweat-streaked dirt Dill's face went white.,"Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
12,Dill returns to Maycomb,1935-01-08,1935-01-08,T,Scout,189,189,1936-07-30,1936-07-30,3,376,T,"Dill ate, and ate, and ate.","Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
13,Scout turns back Mr. Cunningham's mob,1935-08-14,1935-08-14,T,Scout,203,203,1936-07-30,1936-07-30,3,376,T,"""H-ey, Atticus!""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
13,Scout turns back Mr. Cunningham's mob,1935-08-14,1935-08-14,T,Scout,204,204,1936-07-30,1936-07-30,3,376,T,"""Don't you touch him!""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
13,Scout turns back Mr. Cunningham's mob,1935-08-14,1935-08-14,T,Scout,205,205,1936-07-30,1936-07-30,3,376,T,"""Don't you remember me, Mr. Cunningham?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
13,Scout turns back Mr. Cunningham's mob,1935-08-14,1935-08-14,T,Scout,206,206,1936-07-30,1936-07-30,3,376,T,"""I'll tell him you said hey, little lady,"" he said.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,100,100,1936-07-30,1936-07-30,3,376,T,"""It's a peculiar case—it won't come to trial until after summer session.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,117,117,1936-07-30,1936-07-30,3,376,T,"""The jury couldn't possibly be expected...""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,194,194,1936-07-30,1936-07-30,3,376,T,"""Trial'll probably be Monday.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,208,208,1936-07-30,1936-07-30,3,376,T,"""It'll all be over after tomorrow, maybe.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,222,222,1936-07-30,1936-07-30,3,376,T,"""Mr. Heck Tate's testifyin'.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,223,223,1936-07-30,1936-07-30,3,376,T,"""Could you say it to the jury, Mr. Tate?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,224,224,1936-07-30,1936-07-30,3,376,T,"""Did you call a doctor, Sheriff?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,225,225,1936-07-30,1936-07-30,3,376,T,"""Which eye?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,226,226,1936-07-30,1936-07-30,3,376,T,"""...her arms were bruised, and she showed me her neck.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,227,227,1936-07-30,1936-07-30,3,376,T,"""...Robert E. Lee Ewell!""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,229,229,1936-07-30,1936-07-30,3,376,T,"""Mr. Robert Ewell?"" asked Mr. Gilmer.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,230,230,1936-07-30,1936-07-30,3,376,T,"""Are you the father of Mayella Ewell?"" was the next question.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,231,231,1936-07-30,1936-07-30,3,376,T,"""What time was it, Mr. Ewell?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,232,232,1936-07-30,1936-07-30,3,376,T,"""Aw hush. She doesn't understand it, REverend, she ain't nine yet.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,233,233,1936-07-30,1936-07-30,3,376,T,Mr. Ewell reminded me of a deaf-mute.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,234,234,1936-07-30,1936-07-30,3,376,T,"""Then what did you do?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,235,235,1936-07-30,1936-07-30,3,376,T,"""Didn't you think she should have had a doctor, immediately?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
