Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Sasha,Bennie,Scotty,Lou,Rob,Lulu
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,64,64,,,59,83,T,...nosing along a dirt road through grassland...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,65,65,,,59,83,T,...this lark in Africa...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,66,66,,,59,83,T,...this trip constitutes anthropological research...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,67,67,,,59,83,T,...jeep's wobbly jostle through tall grass.,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,68,68,,,59,83,T,...facing away from the lions.,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,69,69,,,59,83,T,"Berkeley and Mombasa, where he lives...",Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,70,70,,,59,83,T,"""The lion is on top of him...""",Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,71,71,,,59,83,T,...Ramsey's safari...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,72,72,,,59,83,T,"""Did you actually see the lion?""",Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,73,73,,,59,83,T,...the floor of the jeep...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,74,74,,,59,83,T,...merriment jingling up from the bar.,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,75,75,,,59,83,T,...very old train overnight to Mombasa.,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,76,76,,,59,83,T,...up the coast from Mombasa.,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,77,77,,,59,83,T,"After his swim, Lou...",Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,78,78,,,59,83,T,The crab splayed its little claws...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,79,79,,,59,83,T,...her bungalow.,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,80,80,,,59,83,T,The palm trees make a...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,81,81,,,59,83,T,...lugging them through Africa...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,82,82,,,59,83,T,...Africa as the last happy moment of her life...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,83,83,,,59,83,T,...danced with her brother in Africa.,Lou,F,F,F,T,F,F
2,Mindy sleeps with Albert,1973-06-15,1973-06-15,T,3rd-Person,78,78,,,59,83,T,"""Number three""",Lou,F,F,F,T,F,F
12,Rob drowns,1993-03-01,1993-03-01,T,3rd-Person,14,14,,,3,18,T,Sasha's friend who had drowned in college...,Rob and Sasha,T,F,F,F,T,F
10,Rolph commits suicide,1990-06-01,1990-06-01,T,3rd-Person,82,82,,,59,83,T,Rolph has shot himself in the head...,Lou,F,F,F,T,F,F
6,Sasha begins shoplifting,1983-03-01,1983-03-01,T,3rd-Person,194,194,,,186,207,T,She'd started shoplifting at thirteen...,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,5,5,,,3,18,T,...cocked her head at Alex.,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,6,6,,,3,18,T,The yes/no smile was amazingly effective.,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,9,9,,,3,18,T,Sasha and Alex...,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,10,10,,,3,18,T,"""Is someone helping this person?"" she heard Alex ask.",Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,11,11,,,3,18,T,"""I'll check the bathroom,"" she told Alex.",Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,12,12,,,3,18,T,Sasha and Alex...,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,13,13,,,3,18,T,"""True,"" Alex said.",Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,14,14,,,3,18,T,"""I love this place,"" Alex said.",Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,15,15,,,3,18,T,"""What's all this?"" Alex asked.",Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,16,16,,,3,18,T,"Afterward, they lay on the rug for a long time.",Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,17,17,,,3,18,T,Sje felt Alex's hand on the back of her head.,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,18,18,,,3,18,T,...she tucked the wallet back into Alex's pocket.,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,311,311,,,310,340,T,...a girl he'd dated once...,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,316,316,,,310,340,T,...from that lost girl...,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,317,317,,,310,340,T,...he'd dated once...,Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,325,325,,,310,340,T,"...a hotel lobby; a small, overwarm apartment.",Sasha,T,F,F,F,F,F
23,Sasha goes on a date with Alex,2005-02-01,2005-02-01,T,3rd-Person,339,339,,,310,340,T,...as clearly as if he'd left Sasha's apartment just this morning.,Sasha,T,F,F,F,F,F
7,Sasha runs away,1987-06-01,1987-06-01,T,3rd-Person,13,13,,,3,18,T,...her travels...,Sasha,T,F,F,F,F,F
7,Sasha runs away,1987-06-01,1987-06-01,T,3rd-Person,213,213,,,208,233,T,"Sasha has disappeared two years ago, at seventeen.",Sasha,T,F,F,F,F,F
7,Sasha runs away,1987-06-01,1987-06-01,T,3rd-Person,223,223,,,208,233,T,She had run away from home...,Sasha,T,F,F,F,F,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,5,5,,,3,18,T,"Bennie Salazar, her old boss......","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,12,12,,,3,18,T,...she'd worked for twelve years...,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,21,21,,,19,38,T,"Bennie's assistant, Sasha...","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,22,22,,,19,38,T,...and glanced at Sasha's breasts...,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,27,27,,,19,38,T,He found Sasha waiting at the door...,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,28,28,,,19,38,T,...he knew few specifics of her life.,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,29,29,,,19,38,T,"""Coffee?"" Sasha asked him.","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,30,30,,,19,38,T,...Sasha's lotion smell...,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,31,31,,,19,38,T,...he concentrated on Sasha...,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,32,32,,,19,38,T,"""You okay?"" Sasha asked, alarmed.","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,33,33,,,19,38,T,He was driving Sasha to the city...,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,34,34,,,19,38,T,"""Four days.""","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,35,35,,,19,38,T,"""Um, okay,"" she said.","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,36,36,,,19,38,T,But Sasha knew better...,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,37,37,,,19,38,T,"""I know.""","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,38,38,,,19,38,T,"""Listen, Sasha.""","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,325,325,,,310,340,T,...the girl who had worked for Bennie Salazar: Sasha.,"Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,326,326,,,310,340,T,"""She was great,"" Bennie said.","Bennie, Rob, and Sasha",T,T,F,F,T,F
13,Sasha works for Bennie,1993-03-01,2005-03-31,T,3rd-Person,337,337,,,310,340,T,"""She was my assistant.""","Bennie, Rob, and Sasha",T,T,F,F,T,F
