character_id,character_name,character_novel_id_fk
564,E Mordecai's Parents,5
565,E Doorman (at Alma M's Building),5
566,E Great-Aunt Dora,5
567,E Rembrant,5
568,E Waiter,5
569,E Zvi's Landlady's Son,5
570,E Zvi's Father's Friend,5
571,E Zvi's Brother,5
572,E Rosa's Nephew,5
573,E Rosa's Mother,5
574,E Rosa's Uncle,5
575,E Rosa's Sister,5
576,E Maid (who stole the gold chain),5
577,E Alfonso (Rosa's Cousin),5
578,E Portuguese Ambassador,5
579,E Woman (nude model),5
580,E Second Nude Model,5
581,E Bruno Schulz,5
582,E Jacob Marcus' Mother,5
583,E Marsha,5
584,E Joe,5
585,E Herman Cooper's Father,5
586,E Jacques Cousteau,5
587,E Dr. Vishnubakat,5
588,E Woman (Bird tried to buy a plane ticket from),5
589,E The Police,5
590,E Firemen,5
591,E Garbage Man,5
592,E Mr. Hintz,5
593,E Man (from Fiction Department),5
594,E Man (from Fact-Checking Department),5
595,E Roger Thornhill,5
596,E Little Boy (throwing rocks in the fountain),5
597,E Policeman (who checks on Leo),5
598,E Man (sitting next to Alma at the Zoo),5
599,E First SS Officer,5
600,E Second SS Officer,5
601,E SS Officer's Wife,5
602,E Woman (with a book),5
603,E Mother (at the Zoo),5
604,E Woman (at the Zoo),5
605,E Man (who walked past Leo and Alma),5
609,Jason Compson IV,9
610,Miss Quentin Compson,9
611,Dilsey Gibson,9
612,Test,0
613,T.P.,9
614,Frony Gibson,9
615,Roskus Gibson,9
616,Versh Gibson,9
617,Caroline Bascomb Compson,9
618,Professor Junkin,9
619,Benjamin Compson,9
620,Quentin Compson III,9
621,Golfers,9
622,Luster Gibson,9
623,Caddy Compson,9
624,Maury Bascomb,9
626,Santy Claus,9
627,Jason Compson III,9
628,Compson children,9
629,People in the field (kicking an 'oversize mothball,9
630,Earl,9
631,'[D]am Squirts' (Quentin runs around with),9
632,Uncle Job,9
633,Drummer (who chats with Jason in front of the shop,9
634,Eastern jews/'fellows that... in New York',9
636,Stock Investors,9
637,Operator (at telegraph office),9
638,Doc Wright,9
639,Hopkins,9
