id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
952,"Knows","Taylor","Hadley","1","VI (FC)","186","186"
953,"Knows","Taylor","Green (Hadley's comrade)","1","VI (FC)","186","187"
954,"Knows","Mayor Bolton","Hadley","1","VI (FC)","186","186"
955,"Knows","Mayor Bolton","Green (Hadley's comrade)","1","VI (FC)","186","186"
956,"Knows","Chief Bruden","Hadley","1","VI (FC)","186","186"
957,"Knows","Chief Bruden","Green (Hadley's comrade)","1","VI (FC)","186","186"
958,"Knows","Mr. Lowe","Hadley","1","VI (FC)","186","186"
959,"Knows","Mr. Lowe","Green (Hadley's comrade)","1","VI (FC)","186","186"
960,"Exchange","Taylor","May","1","VII (FC)","187","187"
961,"Knows","Taylor","God","1","VII (FC)","187","192"
962,"Exchange","Taylor","God","1","VII (FC)","193","193"
964,"Knows","Taylor","Jimmy","1","VII (FC)","187","187"
965,"Knows","May","Jimmy","1","VI (FC)","187","187"
966,"Exchange","Taylor","Deacon Board","1","VII (FC)","187","193"
967,"Knows","Taylor","""white folks"" (abstract)","1","VII (FC)","187","187"
968,"Exchange","Bonds","Taylor","1","VII (FC)","187","188"
969,"Knows","Bonds","Deacon Board","1","VII (FC)","187","193"
970,"Knows","Bonds","Taylor","1","VII (FC)","189","193"
971,"Knows","Bonds","Williams","1","VII (FC)","187","190"
972,"Knows","Bonds","Williams","1","VII (FC)","187","192"
973,"Knows of","Bonds","Chief Bruden","0","VII (FC)","187","192"
974,"Knows of","Bonds","Mr. Lowe","0","VII (FC)","187","192"
975,"Knows of","Bonds","Mayor Bolton","0","VII (FC)","187","192"
976,"Knows of","Bonds","Red Squad","0","VII (FC)","187","188"
977,"Exchange","Bonds","Smith","1","VII (FC)","188","188"
978,"Knows","Bonds","Smith","1","VII (FC)","189","189"
979,"Exchange","Bonds","Smith","1","VII (FC)","190","190"
980,"Knows","Bonds","Smith","1","VII (FC)","191","191"
981,"Exchange","Bonds","Smith","1","VII (FC)","192","192"
982,"Knows","Bonds","Smith","1","VII (FC)","193","193"
983,"Knows of","Bonds","the police","0","VII (FC)","188","189"
984,"Knows of","Bonds","the police","0","VII (FC)","192","192"
985,"Knows","Bonds","God","1","VII (FC)","188","192"
986,"Knows of","Bonds","the Reds","0","VII (FC)","187","189"
987,"Knows of","Bonds","the Reds","0","VII (FC)","191","191"
988,"Knows","Bonds","Jesus Christ","1","VII (FC)","189","189"
989,"Knows","Bonds","Smith","1","VII (FC)","187","187"
990,"Knows","Bonds","Hilton","1","VII (FC)","187","190"
991,"Knows of","Bonds","""white folks"" (poor white townspeople)","0","VII (FC)","190","190"
992,"Knows","Bonds","Jones","1","VII (FC)","190","190"
993,"Knows of","Bonds","Hadley","0","VII (FC)","190","190"
994,"Knows","Bonds","Taylor's congregation","1","VII (FC)","188","192"
995,"Knows","Bonds","Jones","1","VII (FC)","187","188"
996,"Knows","Bonds","Jones","1","VII (FC)","192","192"
997,"Knows","Bonds","Hilton","1","VII (FC)","192","192"
998,"Knows","Bonds","""white folks"" (white townspeople)","1","VII (FC)","191","191"
999,"Knows","Jones","Deacon Board","1","VII (FC)","187","193"
1000,"Knows","Jones","Taylor","1","VII (FC)","187","189"
1001,"Exchange","Jones","Taylor","1","VII (FC)","190","190"
1002,"Knows","Jones","Taylor","1","VII (FC)","191","193"
1004,"Knows of","Jones","Mayor Bolton","0","VII (FC)","187","192"
1005,"Knows","Jones","Williams","1","VII (FC)","187","190"
1006,"Knows","Jones","Williams","1","VII (FC)","192","192"
1007,"Knows of","Jones","Chief Bruden","0","VII (FC)","187","192"
1008,"Knows of","Jones","Mr. Lowe","0","VII (FC)","187","192"
1009,"Knows of","Jones","Industrial Squad","0","VII (FC)","187","188"
1010,"Knows","Jones","Smith","1","VII (FC)","188","189"
1011,"Exchange","Jones","Smith","1","VII (FC)","190","190"
1012,"Knows","Jones","Smith","1","VII (FC)","191","192"
1013,"Knows","Jones","""white folks"" (white townspeople)","1","VII (FC)","191","191"
1014,"Knows","Jones","Taylor's congregation","1","VII (FC)","188","192"
1015,"Knows of","Jones","the police","0","VII (FC)","188","189"
1016,"Knows of","Jones","the police","0","VII (FC)","192","192"
1017,"Knows","Jones","God","1","VII (FC)","188","192"
1018,"Knows of","Jones","the Reds","0","VII (FC)","187","189"
1019,"Knows of","Jones","the Reds","0","VII (FC)","191","191"
1020,"Knows","Jones","Jesus Christ","1","VII (FC)","189","189"
1021,"Knows","Jones","Hilton","1","VII (FC)","189","189"
1022,"Knows of","Jones","""white folks"" (poor white townspeople)","0","VII (FC)","190","190"
1023,"Knows of","Jones","""white folks"" (poor white townspeople)","0","VII (FC)","192","192"
1024,"Knows of","Jones","Hadley","0","VII (FC)","190","190"
1025,"Knows","Bonds","""white folks"" (poor white townspeople)","0","VII (FC)","192","192"
1026,"Knows","Hilton","Deacon Board","1","VII (FC)","187","188"
1027,"Knows","Hilton","Taylor","1","VII (FC)","187","188"
1028,"Exchange","Hilton","Taylor","1","VII (FC)","189","189"
1029,"Knows","Hilton","Taylor","1","VII (FC)","190","193"
1030,"Knows","Hilton","Bonds","1","VII (FC)","187","188"
1031,"Knows","Hilton","Bonds","1","VII (FC)","190","190"
1032,"Knows","Hilton","Bonds","1","VII (FC)","192","192"
1033,"Knows of","Hilton","Mayor Bolton","0","VII (FC)","187","192"
1034,"Exchange","Hilton","Deacon Board","1","VII (FC)","189","189"
1035,"Knows","Hilton","Deacon Board","1","VII (FC)","190","193"
1036,"Knows","Hilton","Williams","1","VII (FC)","187","190"
1037,"Knows","Hilton","Williams","1","VII (FC)","192","192"
1038,"Knows of","Hilton","Chief Bruden","0","VII (FC)","187","192"
1039,"Knows of","Hilton","Mr. Lowe","0","VII (FC)","187","192"
1040,"Knows of","Hilton","Industrial Squad","0","VII (FC)","187","188"
1041,"Knows","Hilton","Smith","1","VII (FC)","188","188"
1042,"Exchange","Hilton","Smith","1","VII (FC)","189","190"
1043,"Knows","Hilton","Smith","1","VII (FC)","191","193"
1044,"Knows","Hilton","""white folks"" (white townspeople)","1","VII (FC)","191","191"
1045,"Knows","Hilton","Taylor's congregation","1","VII (FC)","188","192"
1046,"Knows of","Hilton","the police","0","VII (FC)","188","189"
1047,"Knows of","Hilton","the police","0","VII (FC)","192","192"
