Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Damuddy,Caroline Bascomb Compson,Jason Compson III,Quentin Compson III,Caddy Compson,Benjamin Compson,Jason Compson IV,Versh Gibson,Frony Gibson,T.P.,Roskus Gibson,Dilsey Gibson,Mr. Patterson,Mrs. Patterson,Maury Bascomb,Charlie,Herbert Head,Little girl (Benjy ran after),Doctor,Miss Quentin Compson,Grave diggers,Band member (that Quentin runs off with),Luster Gibson,Reverend Shegog,Church-goers,Choir,Sheriff,Man (in a dirty apron),Man (who runs the show),Dalton Ames,Shreve
6,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Jason Compson IV (narrator),233.0,233.0,1928-04-06,1928-04-06,180.0,264.0,F,Dates collected from Ross and Polk,,,T,T,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
6,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),94.0,94.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,T,T,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
8,Caddy and Charlie hook up,1909-01-01,1909-01-01,T,Benjamin Compson (narrator),47.0,47.0,1928-04-07,1928-04-07,3.0,75.0,F,Dates collected from Ross and Polk,,,,,,T,T,,,,,,,,,,T,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),157.0,157.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),156.0,156.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),155.0,155.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),154.0,154.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),153.0,153.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),152.0,152.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),151.0,151.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
