id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
362,"Knows","Minerva McGonagall","People in the Wizarding World","1","The Boy Who Lived","14","14"
363,"Knows","Albus Dumbledore","People in the Wizarding World","1","The Boy Who Lived","14","14"
364,"Exchange","Voldemort","Lily Potter","1","The Boy Who Lived","14","15"
365,"Exchange","Voldemort","James Potter","1","The Boy Who Lived","14","15"
366,"Knows","Lily Potter","James Potter","1","The Boy Who Lived","14","17"
367,"Knows","Minerva McGonagall","Lily Potter","1","The Boy Who Lived","14","15"
368,"Knows","Minerva McGonagall","James Potter","1","The Boy Who Lived","14","15"
369,"Knows","Albus Dumbledore","Lily Potter","1","The Boy Who Lived","14","15"
370,"Knows","Albus Dumbledore","James Potter","1","The Boy Who Lived","14","15"
371,"Knows","Lily Potter","Harry Potter","1","The Boy Who Lived","14","15"
372,"Knows","James Potter","Harry Potter","1","The Boy Who Lived","14","15"
373,"Knows","Minerva McGonagall","Harry Potter","0","The Boy Who Lived","14","15"
374,"Knows of","Minerva McGonagall","People Voldemort has killed","0","The Boy Who Lived","15","15"
375,"Knows of","Albus Dumbledore","People Voldemort has killed","0","The Boy Who Lived","15","15"
376,"Knows","Albus Dumbledore","Rubeus Hagrid","1","The Boy Who Lived","15","15"
377,"Knows","Minerva McGonagall","Rubeus Hagrid","1","The Boy Who Lived","15","16"
378,"Knows","Minerva McGonagall","Petunia Dursley","0","The Boy Who Lived","15","15"
379,"Knows","Minerva McGonagall","Vernon Dursley","1","The Boy Who Lived","15","15"
380,"Exchange","Albus Dumbledore","Vernon Dursley","1","The Boy Who Lived","15","15"
381,"Exchange","Albus Dumbledore","Petunia Dursley","1","The Boy Who Lived","15","15"
382,"Knows","Petunia Dursley","Vernon Dursley","1","The Boy Who Lived","15","15"
383,"Knows","Minerva McGonagall","Dudley Dursley","0","The Boy Who Lived","15","15"
384,"Knows of","Albus Dumbledore","Dudley Dursley","0","The Boy Who Lived","15","15"
385,"Exchange","Petunia Dursley","Dudley Dursley","1","The Boy Who Lived","15","15"
386,"Knows","Vernon Dursley","Dudley Dursley","1","The Boy Who Lived","15","15"
387,"Knows","Albus Dumbledore","Harry Potter","1","The Boy Who Lived","17","17"
388,"Knows","Minerva McGonagall","Harry Potter","1","The Boy Who Lived","16","17"
389,"Exchange","Minerva McGonagall","Rubeus Hagrid","1","The Boy Who Lived","17","17"
390,"Exchange","Albus Dumbledore","Rubeus Hagrid","1","The Boy Who Lived","16","17"
391,"Exchange","Rubeus Hagrid","Sirius Black","1","The Boy Who Lived","16","16"
392,"Knows","Albus Dumbledore","Sirius Black","1","The Boy Who Lived","16","16"
393,"Knows","Minerva McGonagall","Sirius Black","1","The Boy Who Lived","16","16"
394,"Knows","Rubeus Hagrid","Muggles","0","The Boy Who Lived","16","17"
395,"Knows of","Albus Dumbledore","Muggles","0","The Boy Who Lived","16","17"
396,"Knows of","Minerva McGonagall","Muggles","0","The Boy Who Lived","16","17"
397,"Knows","Rubeus Hagrid","Harry Potter","1","The Boy Who Lived","16","16"
398,"Exchange","Rubeus Hagrid","Harry Potter","1","The Boy Who Lived","17","17"
399,"Knows","Rubeus Hagrid","Lily Potter","1","The Boy Who Lived","17","17"
400,"Knows","Rubeus Hagrid","James Potter","1","The Boy Who Lived","17","17"
401,"Knows","Albus Dumbledore","Minerva McGonagall","1","The Boy Who Lived","18","18"
