id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],195,Knows,Ronald Weasley,Mrs. Norris,1,Through the Trapdoor,199,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],196,Knows,Hermione Granger,Fluffy,1,Through the Trapdoor,200,201
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],197,Knows,Ronald Weasley,Fluffy,1,Through the Trapdoor,200,201
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],198,Knows,Harry Potter,Severus Snape,1,The Man with Two Faces,209,210
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],199,Knows,Professor Quirell,Severus Snape,1,The Man with Two Faces,209,210
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],200,Knows,Professor Quirell,Hermione Granger,1,The Man with Two Faces,209,209
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],201,Knows,Professor Quirell,Albus Dumbledore,1,The Man with Two Faces,209,210
13,The Keeper of the Keys,level 1 (section),39,48,[NULL],[NULL],[NULL],202,Exchange,Rubeus Hagrid,Dudley Dursley,1,The Keeper of the Keys,39,40
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],203,Exchange,Professor Quirell,Harry Potter,1,The Man with Two Faces,209,214
13,The Keeper of the Keys,level 1 (section),39,48,[NULL],[NULL],[NULL],205,Exchange,Vernon Dursley,Rubeus Hagrid,1,The Keeper of the Keys,39,43
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],207,Knows,Professor Quirell,Voldemort,1,The Man with Two Faces,210,210
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],208,Knows,Severus Snape,James Potter,1,The Man with Two Faces,210,210
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],209,Knows,Professor Quirell,James Potter,1,The Man with Two Faces,210,210
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],212,Exchange,Professor Quirell,Voldemort,1,The Man with Two Faces,211,214
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],215,Knows,Harry Potter,Albus Dumbledore,1,The Man with Two Faces,212,212
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],217,Exchange,Voldemort,Harry Potter,1,The Man with Two Faces,211,214
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],220,Knows,Voldemort,James Potter,1,The Man with Two Faces,213,213
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],221,Knows,Voldemort,Lily Potter,1,The Man with Two Faces,213,213
