id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],287,Knows of,Tony Loneman,The white men,0,Tony Loneman (I),18,18,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],288,Knows of,Maxine,The white men,0,Tony Loneman (I),18,18,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],289,Exchange,The Indians,The white men,1,Tony Loneman (I),18,18,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],290,Exchange,Tony Loneman,"""some homies""",1,Tony Loneman (I),20,20,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],291,Exchange,Tony Loneman,"""white boys""",1,Tony Loneman (I),21,22,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],292,Knows of,Tony Loneman,Texas Rangers,0,Tony Loneman (I),24,24,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],293,Knows of,Maxine,Texas Rangers,0,Tony Loneman (I),24,24,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],294,Knows of,Tony Loneman,Oakland Athletics,0,Tony Loneman (I),24,24,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],295,Knows of,Maxine,Oakland Athletics,0,Tony Loneman (I),24,24,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],296,Knows of,Dene Oxendene,"""An Indian...woman"" (grant judge)",0,Dene Oxendene (I),28,28,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],297,Knows of,Dene Oxendene,"""An older guy who's...Native"" (grant judge)",0,Dene Oxendene (I),28,28,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],298,Knows of,Dene Oxendene,"""black guy...with a white beard"" (grant judge)",0,Dene Oxendene (I),28,28,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],299,Knows of,Dene Oxendene,"""middle-aged black guy"" (2) (grant judge)",0,Dene Oxendene (I),28,28,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],300,Knows of,Dene Oxendene,"""middle-aged white lady"" (1) (grant judge)",0,Dene Oxendene (I),28,28,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],301,Knows of,Dene Oxendene,"""middle-aged white lady"" (2) (grant judge)",1,Dene Oxendene (I),28,28,
